git_commit: 527146da4ab810a023a06cd32499fcb09b0e60ca
git_dirty: no
utc_timestamp: 2026-09-07T15:14:47Z
iterations_per_trial: 40000000
rounds: 20
experiment: a2b
queue_capacity: 1024
sizeof_queue_separation_64: 82048
sizeof_queue_separation_128: 82176
sizeof_queue_separation_256: 82432
sizeof_slot_stride_80: 80
sizeof_slot_stride_128: 128
sizeof_slot_stride_256: 256
sizeof_queue_cached_index: 82176
sizeof_queue_uncached_index: 82176
a4b_capacity: 1048576
a4b_iterations: 1000000
sizeof_a4b_queue: 83886336
shuffle_seed: 2711724449
qos_class: user_interactive
round,arm,seconds,completed_operations_per_second,full_rejections
0,false_sharing_256,0.011312792,3535820335.0684781,0
0,shared_line_16,0.030958416999999998,1292055727.5263784,0
0,false_sharing_64,0.0069522500000000001,5753533028.8755436,0
0,false_sharing_128,0.0066402500000000003,6023869583.2235231,0
1,false_sharing_64,0.0063907080000000002,6259087412.537077,0
1,false_sharing_256,0.0062303330000000002,6420202579.8621035,0
1,shared_line_16,0.021883166999999999,1827888988.8287194,0
1,false_sharing_128,0.006770084,5908346188.9099159,0
2,false_sharing_64,0.0060599590000000002,6600704724.2398834,0
2,shared_line_16,0.022443000000000001,1782292919.8413758,0
2,false_sharing_128,0.0060400000000000002,6622516556.2913904,0
2,false_sharing_256,0.0060471659999999997,6614668755.5790596,0
3,shared_line_16,0.022065499999999998,1812784663.8417439,0
3,false_sharing_64,0.0060298340000000004,6633681789.5816031,0
3,false_sharing_128,0.0060584580000000001,6602340067.3900852,0
3,false_sharing_256,0.0060288750000000004,6634736994.8788118,0
4,false_sharing_256,0.0060407079999999997,6621740365.5333118,0
4,false_sharing_128,0.0060362080000000004,6626676880.5846319,0
4,false_sharing_64,0.0060303329999999997,6633132863.4753675,0
4,shared_line_16,0.021717208000000002,1841857387.9294243,0
5,shared_line_16,0.021670167000000001,1845855641.0755856,0
5,false_sharing_128,0.0060286250000000001,6635012129.6315489,0
5,false_sharing_256,0.006057041,6603884636.0789042,0
5,false_sharing_64,0.0062412919999999998,6408929433.2006903,0
6,false_sharing_128,0.0061077079999999999,6549101561.502285,0
6,false_sharing_256,0.0060659579999999998,6594176880.2223825,0
6,false_sharing_64,0.0060261669999999998,6637718470.1320095,0
6,shared_line_16,0.021664167000000002,1846366860.0782111,0
7,false_sharing_128,0.0060497499999999996,6611843464.6059761,0
7,false_sharing_64,0.0060351249999999997,6627866034.2577829,0
7,shared_line_16,0.021657040999999998,1846974385.8359969,0
7,false_sharing_256,0.0060371670000000004,6625624237.3285351,0
8,shared_line_16,0.022342667,1790296565.7591369,0
8,false_sharing_256,0.006037125,6625670331.4905691,0
8,false_sharing_128,0.0060509170000000003,6610568282.4603271,0
8,false_sharing_64,0.0060289999999999996,6634599436.0590487,0
9,false_sharing_64,0.0060368339999999996,6625989715.801363,0
9,false_sharing_256,0.0060296250000000003,6633911727.5120754,0
9,shared_line_16,0.021688292000000001,1844313051.4841831,0
9,false_sharing_128,0.0060805,6578406381.0541897,0
10,false_sharing_256,0.0060379159999999999,6624802332.4604053,0
10,false_sharing_128,0.0060815410000000002,6577280330.7582731,0
10,false_sharing_64,0.0060596249999999999,6601068547.9712029,0
10,shared_line_16,0.022413374999999999,1784648675.1772101,0
11,shared_line_16,0.022466125,1780458356.7482154,0
11,false_sharing_256,0.0061580000000000003,6495615459.5647936,0
11,false_sharing_64,0.006245792,6404311895.1127415,0
11,false_sharing_128,0.0062524160000000002,6397526971.9737139,0
12,false_sharing_256,0.0062657920000000001,6383869748.6287451,0
12,false_sharing_128,0.0062516669999999998,6398293447.1717701,0
12,false_sharing_64,0.0062526250000000004,6397313128.4860353,0
12,shared_line_16,0.021859041999999999,1829906360.946651,0
13,false_sharing_64,0.0060274170000000002,6636341902.3439064,0
13,shared_line_16,0.021693332999999999,1843884478.2403886,0
13,false_sharing_128,0.0060337500000000001,6629376424.2800913,0
13,false_sharing_256,0.0060222920000000003,6641989461.81952,0
14,false_sharing_128,0.0060415829999999997,6620781341.5788546,0
14,shared_line_16,0.021668041999999998,1846036665.4264379,0
14,false_sharing_256,0.006018916,6645714942.6906776,0
14,false_sharing_64,0.0060404589999999998,6622013327.1329222,0
15,false_sharing_64,0.0060301249999999999,6633361663.3154373,0
15,false_sharing_256,0.0060362910000000001,6626585762.6810904,0
15,false_sharing_128,0.0060272499999999996,6636525778.7548227,0
15,shared_line_16,0.021682415999999999,1844812865.8725116,0
16,false_sharing_128,0.0060379580000000004,6624756250.374712,0
16,shared_line_16,0.022363417,1788635430.8020103,0
16,false_sharing_64,0.0060289590000000004,6634644554.7232943,0
16,false_sharing_256,0.0060378330000000003,6624893401.3246136,0
17,shared_line_16,0.021685625,1844539873.7643025,0
17,false_sharing_64,0.0060287910000000004,6634829437.6102934,0
17,false_sharing_128,0.0060380829999999996,6624619105.1033916,0
17,false_sharing_256,0.0060363750000000001,6626493549.5226851,0
18,false_sharing_128,0.0060280000000000004,6635700066.3570004,0
18,false_sharing_256,0.0060454580000000001,6616537572.5048456,0
18,shared_line_16,0.021675666999999999,1845387272.2809408,0
18,false_sharing_64,0.0060281670000000001,6635516235.6981812,0
19,false_sharing_256,0.0060402499999999996,6622242456.8519516,0
19,false_sharing_128,0.0060284170000000003,6635241059.1370831,0
19,false_sharing_64,0.0060379589999999999,6624755153.1900101,0
19,shared_line_16,0.021672459000000002,1845660430.1339316,0
