shuffle_seed: 2711724449
round,arm,seconds,completed_handoffs_per_second,full_rejections
0,queue_acquire_release,0.34851916599999999,28692826.60913977,2608721
0,atomic_relaxed,0.40312674999999998,24806093.865018882,0
0,atomic_acquire_release,0.39648450000000002,25221666.92518875,0
0,atomic_seq_cst,0.38505883299999999,25970057.411979951,0
0,queue_seq_cst,0.465657708,21475001.547703363,5680812
1,queue_acquire_release,0.29239495799999998,34200316.135410242,1201208
1,atomic_relaxed,0.36291358299999998,27554769.147342715,0
1,atomic_seq_cst,0.38224333300000002,26161345.762438711,0
1,queue_seq_cst,0.40903983300000002,24447496.779610701,2058108
1,atomic_acquire_release,0.374236709,26721055.84382958,0
2,atomic_relaxed,0.35411920800000002,28239078.180701226,0
2,queue_acquire_release,0.35375154199999997,28268428.014371738,392901
2,atomic_seq_cst,0.41325641699999999,24198051.35173497,0
2,atomic_acquire_release,0.40492554200000003,24695898.289369948,0
2,queue_seq_cst,0.43820683300000002,22820274.005175084,2136183
3,queue_seq_cst,0.42710820799999999,23413270.484373365,675848
3,atomic_relaxed,0.36325504199999997,27528867.72043759,0
3,atomic_seq_cst,0.41303445799999999,24211055.049552307,0
3,queue_acquire_release,0.293307875,34093868.089972012,1056341
3,atomic_acquire_release,0.38276516599999999,26125679.367594283,0
4,atomic_relaxed,0.431587375,23170279.251101818,0
4,queue_seq_cst,0.398625375,25086210.329686113,664247
4,queue_acquire_release,0.35496904200000001,28171470.795472916,32795
4,atomic_acquire_release,0.36521741699999999,27380950.454506937,0
4,atomic_seq_cst,0.41373637499999999,24169980.219892439,0
5,queue_acquire_release,0.34882091700000001,28668005.594400749,1677999
5,atomic_acquire_release,0.41086379200000001,24338966.330720134,0
5,atomic_relaxed,0.40059887500000002,24962626.267984401,0
5,atomic_seq_cst,0.41294362499999998,24216380.625805762,0
5,queue_seq_cst,0.43934595900000001,22761106.128667045,1858626
6,atomic_seq_cst,0.414587292,24120372.700666379,0
6,queue_seq_cst,0.441573041,22646310.058588926,62327
6,atomic_acquire_release,0.41321195799999999,24200654.909410924,0
6,queue_acquire_release,0.32855287500000002,30436501.278523281,790775
6,atomic_relaxed,0.400374917,24976589.62986435,0
7,atomic_acquire_release,0.41307500000000003,24208678.81135387,0
7,queue_seq_cst,0.441773833,22636017.013710272,386984
7,atomic_relaxed,0.40173845899999999,24891816.493974257,0
7,queue_acquire_release,0.347724541,28758395.859094687,1853022
7,atomic_seq_cst,0.41431158299999998,24136423.91455901,0
8,atomic_relaxed,0.40189754100000002,24881963.634607058,0
8,atomic_seq_cst,0.41419120799999998,24143438.602395445,0
8,atomic_acquire_release,0.41419675,24143115.560419053,0
8,queue_seq_cst,0.43356312499999999,23064692.136813987,7829537
8,queue_acquire_release,0.35533254199999997,28142651.792359624,480959
9,queue_seq_cst,0.43635029199999997,22917367.498862591,5272359
9,atomic_acquire_release,0.37116841699999997,26941947.487951275,0
9,atomic_relaxed,0.39990495799999998,25005941.536738839,0
9,atomic_seq_cst,0.41192412499999997,24276315.450084407,0
9,queue_acquire_release,0.35172874999999998,28430999.740567129,982617
